externalKey,tier_short,tier_label,tier_order,segment,role_fit,organization,region,state,state_name,city,county,city_county,locale_code,locale_display,saipe_numeric,saipe_display,basis,phone,website,outreach_program,outreach_link,students,school_count,source,detail
CAND|Andrew College|GA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Andrew College,Southeast,GA,,Cuthbert,Randolph County,Cuthbert / Randolph County,43,43,25.9,25.9%,Locale 43 + SAIPE 20 pts,(229) 732-2171,https://www.andrewcollege.edu/,,,,,Higher Ed seed file,"{'Institution': 'Andrew College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'GA', 'City': 'Cuthbert', 'County': 'Randolph County', 'ZIP': '39840-5550', 'Locale': '43', 'Poverty Percent': '25.9', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'William Kennedy', 'Leader Title': 'President', 'Phone': '(229) 732-2171', 'Website': 'https://www.andrewcollege.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Appalachian Beauty School|KY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Appalachian Beauty School,Mid-Atlantic,KY,,Belfry,Pike County,Belfry / Pike County,43,43,22.4,22.4%,Locale 43 + SAIPE 20 pts,(606) 519-3610,https://appalachianbeautyschool.com/,,,,,Higher Ed seed file,"{'Institution': 'Appalachian Beauty School', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'KY', 'City': 'Belfry', 'County': 'Pike County', 'ZIP': '41514', 'Locale': '43', 'Poverty Percent': '22.4', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Amber McCracken', 'Leader Title': 'Owner/Director', 'Phone': '(606) 519-3610', 'Website': 'https://appalachianbeautyschool.com/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Appalachian School of Law|VA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Appalachian School of Law,Mid-Atlantic,VA,,Grundy,Buchanan County,Grundy / Buchanan County,43,43,23.5,23.5%,Locale 43 + SAIPE 20 pts,27693543491231,https://www.asl.edu/,,,,,Higher Ed seed file,"{'Institution': 'Appalachian School of Law', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'VA', 'City': 'Grundy', 'County': 'Buchanan County', 'ZIP': '24614', 'Locale': '43', 'Poverty Percent': '23.5', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Brian Keith Faulkner', 'Leader Title': 'President and Dean', 'Phone': '27693543491231', 'Website': 'https://www.asl.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Blackfeet Community College|MT,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Blackfeet Community College,West,MT,,Browning,Glacier County,Browning / Glacier County,43,43,25.9,25.9%,Locale 43 + SAIPE 20 pts,40633854412201,https://bfcc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Blackfeet Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MT', 'City': 'Browning', 'County': 'Glacier County', 'ZIP': '59417-0819', 'Locale': '43', 'Poverty Percent': '25.9', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Dr. Brad Hall', 'Leader Title': 'President', 'Phone': '40633854412201', 'Website': 'https://bfcc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': 'Land Grant'}"
CAND|Chowan University|NC,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Chowan University,Southeast,NC,,Murfreesboro,Hertford County,Murfreesboro / Hertford County,43,43,22.9,22.9%,Locale 43 + SAIPE 20 pts,(252) 398-6500,https://www.chowan.edu/,,,,,Higher Ed seed file,"{'Institution': 'Chowan University', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NC', 'City': 'Murfreesboro', 'County': 'Hertford County', 'ZIP': '27855', 'Locale': '43', 'Poverty Percent': '22.9', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Rosemary', 'Leader Title': 'Thomas', 'Phone': '(252) 398-6500', 'Website': 'https://www.chowan.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Denmark Technical College|SC,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Denmark Technical College,Southeast,SC,,Denmark,Bamberg County,Denmark / Bamberg County,43,43,24.2,24.2%,Locale 43 + SAIPE 20 pts,(803) 793-5101,https://www.denmarktech.edu/,,,,,Higher Ed seed file,"{'Institution': 'Denmark Technical College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'SC', 'City': 'Denmark', 'County': 'Bamberg County', 'ZIP': '29042', 'Locale': '43', 'Poverty Percent': '24.2', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Dr. Willie L. Todd, Jr.', 'Leader Title': 'President and CEO', 'Phone': '(803) 793-5101', 'Website': 'https://www.denmarktech.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Dine College|AZ,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Dine College,West,AZ,,Tsaile,Apache County,Tsaile / Apache County,43,43,29.3,29.3%,Locale 43 + SAIPE 20 pts,(928) 724-6600,https://www.dinecollege.edu/,,,,,Higher Ed seed file,"{'Institution': 'Dine College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'AZ', 'City': 'Tsaile', 'County': 'Apache County', 'ZIP': '86556', 'Locale': '43', 'Poverty Percent': '29.3', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Charles Monty Roessel', 'Leader Title': 'President', 'Phone': '(928) 724-6600', 'Website': 'https://www.dinecollege.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': 'Land Grant'}"
CAND|East Central Community College|MS,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,East Central Community College,Southeast,MS,,Decatur,Newton County,Decatur / Newton County,43,43,21.6,21.6%,Locale 43 + SAIPE 20 pts,(601) 635-2111,https://www.eccc.edu/,,,,,Higher Ed seed file,"{'Institution': 'East Central Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MS', 'City': 'Decatur', 'County': 'Newton County', 'ZIP': '39327-0129', 'Locale': '43', 'Poverty Percent': '21.6', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'J. Brent Gregory, Ph.D.', 'Leader Title': 'President', 'Phone': '(601) 635-2111', 'Website': 'https://www.eccc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|East Mississippi Community College|MS,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,East Mississippi Community College,Southeast,MS,,Scooba,Kemper County,Scooba / Kemper County,43,43,25.4,25.4%,Locale 43 + SAIPE 20 pts,(662) 476-5000,https://www.eastms.edu/,,,,,Higher Ed seed file,"{'Institution': 'East Mississippi Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MS', 'City': 'Scooba', 'County': 'Kemper County', 'ZIP': '39358-0158', 'Locale': '43', 'Poverty Percent': '25.4', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Scott Alsobrooks', 'Leader Title': 'President', 'Phone': '(662) 476-5000', 'Website': 'https://www.eastms.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Eastern Oklahoma State College|OK,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Eastern Oklahoma State College,West,OK,,Wilburton,Latimer County,Wilburton / Latimer County,43,43,21.1,21.1%,Locale 43 + SAIPE 20 pts,(918) 465-2361,https://www.eosc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Eastern Oklahoma State College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OK', 'City': 'Wilburton', 'County': 'Latimer County', 'ZIP': '74578-4999', 'Locale': '43', 'Poverty Percent': '21.1', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Dr. Janet Wansick', 'Leader Title': 'President', 'Phone': '(918) 465-2361', 'Website': 'https://www.eosc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Fort Peck Community College|MT,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Fort Peck Community College,West,MT,,Poplar,Roosevelt County,Poplar / Roosevelt County,43,43,22.8,22.8%,Locale 43 + SAIPE 20 pts,(406) 768-6300,https://www.fpcc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Fort Peck Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MT', 'City': 'Poplar', 'County': 'Roosevelt County', 'ZIP': '59255-0398', 'Locale': '43', 'Poverty Percent': '22.8', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Craig Smith', 'Leader Title': 'President', 'Phone': '(406) 768-6300', 'Website': 'https://www.fpcc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': 'Land Grant'}"
CAND|Glenville State University|WV,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Glenville State University,Mid-Atlantic,WV,,Glenville,Gilmer County,Glenville / Gilmer County,43,43,26.8,26.8%,Locale 43 + SAIPE 20 pts,(304) 462-7361,https://www.glenville.edu/,,,,,Higher Ed seed file,"{'Institution': 'Glenville State University', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'WV', 'City': 'Glenville', 'County': 'Gilmer County', 'ZIP': '26351-1292', 'Locale': '43', 'Poverty Percent': '26.8', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Mark Manchin', 'Leader Title': 'President', 'Phone': '(304) 462-7361', 'Website': 'https://www.glenville.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Little Big Horn College|MT,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Little Big Horn College,West,MT,,Crow Agency,Big Horn County,Crow Agency / Big Horn County,43,43,22.2,22.2%,Locale 43 + SAIPE 20 pts,(406) 638-3104,https://www.lbhc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Little Big Horn College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MT', 'City': 'Crow Agency', 'County': 'Big Horn County', 'ZIP': '59022', 'Locale': '43', 'Poverty Percent': '22.2', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Neva Tall Bear', 'Leader Title': 'Interim President', 'Phone': '(406) 638-3104', 'Website': 'https://www.lbhc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': 'Land Grant'}"
CAND|Marion Military Institute|AL,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Marion Military Institute,Southeast,AL,,Marion,Perry County,Marion / Perry County,43,43,29.8,29.8%,Locale 43 + SAIPE 20 pts,(800) 664-1842,https://www.marionmilitary.edu/,,,,,Higher Ed seed file,"{'Institution': 'Marion Military Institute', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'AL', 'City': 'Marion', 'County': 'Perry County', 'ZIP': '36756-3207', 'Locale': '43', 'Poverty Percent': '29.8', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Col David J. Mollahan', 'Leader Title': 'President', 'Phone': '(800) 664-1842', 'Website': 'https://www.marionmilitary.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Mingo Extended Learning Center|WV,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Mingo Extended Learning Center,Mid-Atlantic,WV,,Delbarton,Mingo County,Delbarton / Mingo County,43,43,25.7,25.7%,Locale 43 + SAIPE 20 pts,30447533477401,https://www.mingoschools.com/Domain/15,,,,,Higher Ed seed file,"{'Institution': 'Mingo Extended Learning Center', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'WV', 'City': 'Delbarton', 'County': 'Mingo County', 'ZIP': '25670', 'Locale': '43', 'Poverty Percent': '25.7', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Mark Dean', 'Leader Title': 'Administrator', 'Phone': '30447533477401', 'Website': 'https://www.mingoschools.com/Domain/15', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Murray State College|OK,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Murray State College,West,OK,,Tishomingo,Johnston County,Tishomingo / Johnston County,43,43,21.5,21.5%,Locale 43 + SAIPE 20 pts,(580) 387-7000,https://www.mscok.edu/,,,,,Higher Ed seed file,"{'Institution': 'Murray State College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OK', 'City': 'Tishomingo', 'County': 'Johnston County', 'ZIP': '73460', 'Locale': '43', 'Poverty Percent': '21.5', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Tim Faltyn', 'Leader Title': 'President', 'Phone': '(580) 387-7000', 'Website': 'https://www.mscok.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Navajo Technical University|NM,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Navajo Technical University,West,NM,,Crownpoint,McKinley County,Crownpoint / McKinley County,43,43,26.2,26.2%,Locale 43 + SAIPE 20 pts,50578641004111,https://www.navajotech.edu/,,,,,Higher Ed seed file,"{'Institution': 'Navajo Technical University', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NM', 'City': 'Crownpoint', 'County': 'McKinley County', 'ZIP': '87313-0849', 'Locale': '43', 'Poverty Percent': '26.2', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Elmer Guy', 'Leader Title': 'President', 'Phone': '50578641004111', 'Website': 'https://www.navajotech.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': 'Land Grant'}"
CAND|Northland Pioneer College|AZ,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Northland Pioneer College,West,AZ,,Holbrook,Navajo County,Holbrook / Navajo County,43,43,22.7,22.7%,Locale 43 + SAIPE 20 pts,(800) 266-7845,https://www.npc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Northland Pioneer College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'AZ', 'City': 'Holbrook', 'County': 'Navajo County', 'ZIP': '86025-0610', 'Locale': '43', 'Poverty Percent': '22.7', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Dr. Michael Solomonson', 'Leader Title': 'College Interim President', 'Phone': '(800) 266-7845', 'Website': 'https://www.npc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
