Title,ExternalKey,TierCode,TierLabel,Segment,RoleFit,OrganizationName,StateCode,StateName,City,County,LocaleCode,LocaleDisplay,SaipePercent,SaipeBand,Basis,ContactName,ContactTitle,Phone,Website,OutreachProgram,OutreachLink,Flags,AssignedRepText,OutreachStatus,LastContact,NextStep,Notes,SourceDataset,ActiveFlag
ADRIAN PUBLIC SCHOOL DISTRICT,2-school-district-mn-adrian-public-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ADRIAN PUBLIC SCHOOL DISTRICT,MN,Minnesota,Adrian,Nobles County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(507) 483-2266,http://www.isd511.net/,,,,,Not Started,,,,K12 Locale43,Yes
ADRIAN R-III,2-school-district-mo-adrian-r-iii,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ADRIAN R-III,MO,Missouri,Adrian,Bates County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(816) 297-2710,http://WWW.ADRIAN.K12.MO.US,,,,,Not Started,,,,K12 Locale43,Yes
Agar-Blunt-Onida School District 58-3,2-school-district-sd-agar-blunt-onida-school-district-58-3,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Agar-Blunt-Onida School District 58-3,SD,South Dakota,Onida,Sully County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(605) 258-2618,http://www.abo.k12.sd.us,,,,,Not Started,,,,K12 Locale43,Yes
Agate School District No. 300,2-school-district-co-agate-school-district-no-300,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Agate School District No. 300,CO,Colorado,Agate,Elbert County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(719) 764-2741,http://www.agateschools.net,,,,,Not Started,,,,K12 Locale43,Yes
Agnes J. Johnson Charter District,2-school-district-ca-agnes-j-johnson-charter-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Agnes J. Johnson Charter District,CA,California,Weott,Humboldt County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(707) 946-2347,http://ajjcharter.com,,,,,Not Started,,,,K12 Locale43,Yes
Aguila Elementary District (4249),2-school-district-az-aguila-elementary-district-4249,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Aguila Elementary District (4249),AZ,Arizona,Aguila,Maricopa County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(928) 685-2222,http://www.aguilaschool.org,,,,,Not Started,,,,K12 Locale43,Yes
Aguilar Reorganized School District No. 6,2-school-district-co-aguilar-reorganized-school-district-no-6,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Aguilar Reorganized School District No. 6,CO,Colorado,Aguilar,Las Animas County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(719) 941-4188,http://www.aguilarschools.com,,,,,Not Started,,,,K12 Locale43,Yes
AHSTW Comm School District,2-school-district-ia-ahstw-comm-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,AHSTW Comm School District,IA,Iowa,Avoca,Pottawattamie County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(712) 343-6364,http://www.ahstwschools.org,,,,,Not Started,,,,K12 Locale43,Yes
AINSWORTH COMMUNITY SCHOOLS,2-school-district-ne-ainsworth-community-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,AINSWORTH COMMUNITY SCHOOLS,NE,Nebraska,Ainsworth,Brown County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(402) 387-2333,,,,,,Not Started,,,,K12 Locale43,Yes
Aitkin Public School District,2-school-district-mn-aitkin-public-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Aitkin Public School District,MN,Minnesota,Aitkin,Aitkin County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(218) 927-2115,http://home.isd1.org/,,,,,Not Started,,,,K12 Locale43,Yes
Ajo Unified District (4409),2-school-district-az-ajo-unified-district-4409,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Ajo Unified District (4409),AZ,Arizona,Ajo,Pima County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(520) 387-5618,http://www.ajoschools.org,,,,,Not Started,,,,K12 Locale43,Yes
Akron School District No. R-1,2-school-district-co-akron-school-district-no-r-1,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Akron School District No. R-1,CO,Colorado,Akron,Washington County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(970) 345-2053,http://www.akronrams.net,,,,,Not Started,,,,K12 Locale43,Yes
Alaska Gateway School District,2-school-district-ak-alaska-gateway-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alaska Gateway School District,AK,Alaska,Tok,Southeast Fairbanks Census Area,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(907) 883-5151,http://www.agsd.us,,,,,Not Started,,,,K12 Locale43,Yes
Alba Public Schools,2-school-district-mi-alba-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alba Public Schools,MI,Michigan,Alba,Antrim County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(231) 584-2000,http://www.albaschool.org,,,,,Not Started,,,,K12 Locale43,Yes
ALBANY ISD,2-school-district-tx-albany-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ALBANY ISD,TX,Texas,Albany,Shackelford County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(325) 762-2823,http://www.albany.esc14.net,,,,,Not Started,,,,K12 Locale43,Yes
ALBANY R-III,2-school-district-mo-albany-r-iii,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ALBANY R-III,MO,Missouri,Albany,Gentry County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(660) 726-3911,http://www.albany.k12.mo.us,,,,,Not Started,,,,K12 Locale43,Yes
Albert City-Truesdale Comm School District,2-school-district-ia-albert-city-truesdale-comm-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Albert City-Truesdale Comm School District,IA,Iowa,Albert City,Buena Vista County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(712) 843-5416,http://www.albertct.k12.ia.us,,,,,Not Started,,,,K12 Locale43,Yes
Albia Comm School District,2-school-district-ia-albia-comm-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Albia Comm School District,IA,Iowa,Albia,Monroe County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(641) 932-2161,http://www.albiacsd.org,,,,,Not Started,,,,K12 Locale43,Yes
ALBION,1-school-district-ok-albion,1,"Tier 1: K-12 Rural Remote, >30% SAIPE",School District,Spoke Candidate,ALBION,OK,Oklahoma,Albion,Pushmataha County,43,43-Rural: Remote,38.8,30%+,Locale 43 and SAIPE ≥ 30%,Randall Erwin,District Contact,(918) 563-4331,http://www.albion.k12.ok.us,,,,,Not Started,,,,K12 Locale43,Yes
Alburgh School District,2-school-district-vt-alburgh-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alburgh School District,VT,Vermont,Alburgh,Grand Isle County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(802) 796-3573,,,,,,Not Started,,,,K12 Locale43,Yes
Alcester-Hudson School District 61-1,2-school-district-sd-alcester-hudson-school-district-61-1,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alcester-Hudson School District 61-1,SD,South Dakota,Alcester,Union County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(605) 934-1890,http://www.alcester-hudson.k12.sd.us,,,,,Not Started,,,,K12 Locale43,Yes
Alder Elem,2-school-district-mt-alder-elem,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alder Elem,MT,Montana,Alder,Madison County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 842-5285,,,,,,Not Started,,,,K12 Locale43,Yes
Aleutian Region School District,2-school-district-ak-aleutian-region-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Aleutian Region School District,AK,Alaska,Anchorage,Anchorage Municipality,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(907) 277-2648,http://www.aleutregion.org,,,,,Not Started,,,,K12 Locale43,Yes
Aleutians East Borough School District,2-school-district-ak-aleutians-east-borough-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Aleutians East Borough School District,AK,Alaska,Sand Point,Aleutians East Borough,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(907) 383-5222,http://www.aebsd.org,,,,,Not Started,,,,K12 Locale43,Yes
ALEXANDER 2,2-school-district-nd-alexander-2,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ALEXANDER 2,ND,North Dakota,Alexander,McKenzie County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(701) 828-3334,http://www.alexanderschoolnd.us/,,,,,Not Started,,,,K12 Locale43,Yes
Alexander Public Schools,2-school-district-me-alexander-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alexander Public Schools,ME,Maine,Pembroke,Washington County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(207) 853-2567,http://www.alexanderelementary.org,,,,,Not Started,,,,K12 Locale43,Yes
ALINE-CLEO,2-school-district-ok-aline-cleo,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ALINE-CLEO,OK,Oklahoma,Aline,Alfalfa County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(580) 463-2255,http://www.alinecleo.k12.ok.us,,,,,Not Started,,,,K12 Locale43,Yes
Allamakee Comm School District,2-school-district-ia-allamakee-comm-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Allamakee Comm School District,IA,Iowa,Waukon,Allamakee County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(563) 568-3409,http://www.allamakee.k12.ia.us,,,,,Not Started,,,,K12 Locale43,Yes
Alleghany County Schools,2-school-district-nc-alleghany-county-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alleghany County Schools,NC,North Carolina,Sparta,Alleghany County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(336) 372-4345,http://www.alleghany.k12.nc.us,,,,,Not Started,,,,K12 Locale43,Yes
Allegheny-Clarion Valley SD,2-school-district-pa-allegheny-clarion-valley-sd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Allegheny-Clarion Valley SD,PA,Pennsylvania,Foxburg,Clarion County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(724) 659-5820,http://www.acvsd.org,,,,,Not Started,,,,K12 Locale43,Yes
ALLEN,2-school-district-ok-allen,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ALLEN,OK,Oklahoma,Allen,Pontotoc County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(580) 857-2417,http://www.allenmustangs.org,,,,,Not Started,,,,K12 Locale43,Yes
Allendale 01,1-school-district-sc-allendale-01,1,"Tier 1: K-12 Rural Remote, >30% SAIPE",School District,Spoke Candidate,Allendale 01,SC,South Carolina,Fairfax,Allendale County,43,43-Rural: Remote,43.5,30%+,Locale 43 and SAIPE ≥ 30%,Becky Dukes,District Contact,(803) 584-4603,http://www.acs.k12.sc.us,,,,,Not Started,,,,K12 Locale43,Yes
ALMA PUBLIC SCHOOLS,2-school-district-ne-alma-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ALMA PUBLIC SCHOOLS,NE,Nebraska,Alma,Harlan County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(308) 928-2131,,,,,,Not Started,,,,K12 Locale43,Yes
Alma School District,2-school-district-wi-alma-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alma School District,WI,Wisconsin,Alma,Buffalo County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(608) 685-4416,http://www.alma.k12.wi.us,,,,,Not Started,,,,K12 Locale43,Yes
Almira School District,2-school-district-wa-almira-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Almira School District,WA,Washington,Almira,Lincoln County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(509) 639-2414,http://almirasd.org,,,,,Not Started,,,,K12 Locale43,Yes
Almond-Bancroft School District,2-school-district-wi-almond-bancroft-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Almond-Bancroft School District,WI,Wisconsin,Almond,Portage County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(715) 366-2941,http://abschools.k12.wi.us,,,,,Not Started,,,,K12 Locale43,Yes
Alpine Elementary District (4161),2-school-district-az-alpine-elementary-district-4161,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alpine Elementary District (4161),AZ,Arizona,Alpine,Apache County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(928) 339-4570,http://www.alpine.k12.az.us,,,,,Not Started,,,,K12 Locale43,Yes
Alternative Educational Academy of Ogemaw County,2-school-district-mi-alternative-educational-academy-of-ogemaw-county,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alternative Educational Academy of Ogemaw County,MI,Michigan,West Branch,Ogemaw County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(989) 343-9070,http://ogemawaea.net,,,,,Not Started,,,,K12 Locale43,Yes
ALTO ISD,2-school-district-tx-alto-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ALTO ISD,TX,Texas,Alto,Cherokee County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(936) 858-7101,http://www.alto.esc7.net,,,,,Not Started,,,,K12 Locale43,Yes
ALTON R-IV,2-school-district-mo-alton-r-iv,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ALTON R-IV,MO,Missouri,Alton,Oregon County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(417) 778-7216,http://alton.k12.mo.us,,,,,Not Started,,,,K12 Locale43,Yes
Alvin C. York Agricultural Institute,2-school-district-tn-alvin-c-york-agricultural-institute,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alvin C. York Agricultural Institute,TN,Tennessee,Jamestown,Fentress County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(931) 879-8101,http://www.yaidragons.com/,,,,,Not Started,,,,K12 Locale43,Yes
Alzada Elem,2-school-district-mt-alzada-elem,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Alzada Elem,MT,Montana,Alzada,Carter County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 828-4445,,,,,,Not Started,,,,K12 Locale43,Yes
Amery School District,2-school-district-wi-amery-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Amery School District,WI,Wisconsin,Amery,Eau Claire County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(715) 268-9771,http://www.amerysd.k12.wi.us,,,,,Not Started,,,,K12 Locale43,Yes
AMHERST PUBLIC SCHOOLS,2-school-district-ne-amherst-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,AMHERST PUBLIC SCHOOLS,NE,Nebraska,Amherst,Buffalo County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(308) 826-3131,,,,,,Not Started,,,,K12 Locale43,Yes
Amite County School District,2-school-district-ms-amite-county-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Amite County School District,MS,Mississippi,Liberty,Amite County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(601) 657-4291,http://www.amite.k12.ms.us,,,,,Not Started,,,,K12 Locale43,Yes
ANAMOOSE 14,2-school-district-nd-anamoose-14,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ANAMOOSE 14,ND,North Dakota,Anamoose,McHenry County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(701) 465-3258,http://www.anamoose-drake.k12.nd.us,,,,,Not Started,,,,K12 Locale43,Yes
Anderson Valley Unified,2-school-district-ca-anderson-valley-unified,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Anderson Valley Unified,CA,California,Boonville,Mendocino County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(707) 895-3774,http://www.avpanthers.org,,,,,Not Started,,,,K12 Locale43,Yes
ANDES CENTRAL SCHOOL DISTRICT,2-school-district-ny-andes-central-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ANDES CENTRAL SCHOOL DISTRICT,NY,New York,Andes,Delaware County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(845) 676-3167,,,,,,Not Started,,,,K12 Locale43,Yes
Andes Central School District 11-1,2-school-district-sd-andes-central-school-district-11-1,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Andes Central School District 11-1,SD,South Dakota,Lake Andes,Charles Mix County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(605) 487-7671,http://www.andescentral.k12.sd.us,,,,,Not Started,,,,K12 Locale43,Yes
ANIMAS,1-school-district-nm-animas,1,"Tier 1: K-12 Rural Remote, >30% SAIPE",School District,Spoke Candidate,ANIMAS,NM,New Mexico,Animas,Hidalgo County,43,43-Rural: Remote,32.5,30%+,Locale 43 and SAIPE ≥ 30%,Tammy Pompeo,District Contact,(575) 548-2299,http://www.animask12.net,,,,,Not Started,,,,K12 Locale43,Yes
Annette Island School District,2-school-district-ak-annette-island-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Annette Island School District,AK,Alaska,Metlakatla,Prince of Wales-Hyder Census Area,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(907) 886-6332,http://www.aisdk12.org,,,,,Not Started,,,,K12 Locale43,Yes
ANSELMO-MERNA PUBLIC SCHOOLS,2-school-district-ne-anselmo-merna-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ANSELMO-MERNA PUBLIC SCHOOLS,NE,Nebraska,Merna,Custer County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(308) 643-2224,,,,,,Not Started,,,,K12 Locale43,Yes
ANSLEY PUBLIC SCHOOLS,2-school-district-ne-ansley-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ANSLEY PUBLIC SCHOOLS,NE,Nebraska,Ansley,Custer County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(308) 935-1121,,,,,,Not Started,,,,K12 Locale43,Yes
ANTLERS,2-school-district-ok-antlers,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ANTLERS,OK,Oklahoma,Antlers,Pushmataha County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(580) 298-5504,http://www.antlers.k12.ok.us,,,,,Not Started,,,,K12 Locale43,Yes
Apache County Sheriff's Office (79547),2-school-district-az-apache-county-sheriff-s-office-79547,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Apache County Sheriff's Office (79547),AZ,Arizona,St Johns,Apache County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(928) 337-4321,,,,,,Not Started,,,,K12 Locale43,Yes
Apache Elementary District (4178),2-school-district-az-apache-elementary-district-4178,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Apache Elementary District (4178),AZ,Arizona,Portal,Cochise County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(520) 558-2364,http://www.apacheelementary.org/,,,,,Not Started,,,,K12 Locale43,Yes
APPLE SPRINGS ISD,2-school-district-tx-apple-springs-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,APPLE SPRINGS ISD,TX,Texas,Apple Springs,Trinity County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(936) 831-3344,http://www.asisd.com,,,,,Not Started,,,,K12 Locale43,Yes
APPLETON CITY R-II,2-school-district-mo-appleton-city-r-ii,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,APPLETON CITY R-II,MO,Missouri,Appleton City,St. Clair County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(660) 476-2161,http://appletoncity.k12.mo.us/,,,,,Not Started,,,,K12 Locale43,Yes
Ar-We-Va Comm School District,2-school-district-ia-ar-we-va-comm-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Ar-We-Va Comm School District,IA,Iowa,Westside,Crawford County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(712) 663-4311,http://www.ar-we-va.k12.ia.us,,,,,Not Started,,,,K12 Locale43,Yes
ARAPAHOE PUBLIC SCHOOLS,2-school-district-ne-arapahoe-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ARAPAHOE PUBLIC SCHOOLS,NE,Nebraska,Arapahoe,Furnas County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(308) 962-5458,,,,,,Not Started,,,,K12 Locale43,Yes
ARCADIA PUBLIC SCHOOLS,2-school-district-ne-arcadia-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ARCADIA PUBLIC SCHOOLS,NE,Nebraska,Arcadia,Valley County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(308) 789-6522,,,,,,Not Started,,,,K12 Locale43,Yes
ARCADIA VALLEY R-II,2-school-district-mo-arcadia-valley-r-ii,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ARCADIA VALLEY R-II,MO,Missouri,Ironton,Iron County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(573) 546-9700,http://WWW.AVR2.ORG,,,,,Not Started,,,,K12 Locale43,Yes
